,address,quantity,percetages
63,0x6503993E2188eA0E8625d862104598aFD8A72048,"659,543.052380430791976785",0.0660
64,0x641623c72bE676a0024505EF72631796792C8A0b,"625,709.37761612176530584",0.0626
65,0xA73072adc6c34859426FcC29BC6Ca2cAC07c93c3,"614,328.382195786986704064",0.0614
66,0x42407FB33b3487fd7b644d84F35818a63e22b03c,"612,243.663802970719870698",0.0612
67,0xbB2DF84755CfF066E3BbE81566388bEbeAE5a7B5,"606,978.863239385008548883",0.0607
68,0x45FF79e6154B77f2F5b18804967D522E161B8486,"605,286.293458725848830464",0.0605
69,0x2dBFCBb0db05D2286E8C1b19138f0B436696a75e,"597,303.46653891136534599",0.0597
70,0x5b0051e4EA8Eaf6Ec523aB2Aa76fe0149E68B040,"593,511.428904801151224512",0.0594
71,0x902ABfDE086583067D2854E36fE1034eC9079BB8,"584,166.379069774379390507",0.0584
72,0x04A3a5e85212095175e276506885f28cb9c8aD48,"581,321.807543058082170282",0.0581
73,0x5d00A0Bc72C01806E74F20A3c4643282d2b70276,"564,128.424258714252144546",0.0564
74,0x518D9643160cFd6FE469BFBd3BA66fC8035a68a3,"550,530.880929762922237487",0.0551
75,0xCd7181FEb15bcB1EB189FD47266E85b71B9ad1eA,"540,002.884887330415698128",0.0540
76,0x507b26C5ABd7559DBD85046009310AD111C83E24,"538,125.480527433320887686",0.0538
77,0x0bF232b1D8Fd59dcf36C5481c0Bb0553Df18cdfC,"528,234.308262516958318075",0.0528
78,0xC4bA8F21C0dd755CfEfF899c4F791C634cA5c6db,"527,221.518045550985201402",0.0527
79,0x3263B6d70B8D10d7eD96D5F0c3457e409B6C05Ba,"522,575.036608217166138448",0.0523
80,0x2fE4093c894749e596f458764c377bF4f1337b58,"516,361.508973748557980904",0.0516
81,0xb8bd3e34E33541ccA1571C3e55E337a09A3225C0,"509,765.283081689252618349",0.0510
82,0x0D2DFA79BDa0D65bcB54544218a15B8869fAd2d2,"508,450.825661841960880127",0.0508
83,0x313b5DA9Edec4445910E2c129Fb462e025AFA6d0,"504,474.847635488324608497",0.0504
84,0x860E468Ca7716Dfa0dEB4FC84459A74b3974E5C5,"503,780.643039355205106399",0.0504
85,0x096eA0499fD9f2D036Bc1bd834AFDE011D320000,"501,602.896096179469779209",0.0502
86,0x9B91fF4C7c4984DBfA9299282Cd3af9C37cE1F73,"501,027.77951467497989767",0.0501
87,0x371966bA71A366006FD2eC1d140AA8cdb0f945DC,"500,000.734998871590826407",0.0500
88,0x61D2799799aFC6a29FD9E7139912E3582349e235,"500,000",0.0500
89,0x100000dfeb6b14e6775738F7656cB457d65f28E3,"492,884.269187197437991695",0.0493
90,0xF258Cf3Dd0021EbaA1C6565c5E70D261db3C6D09,"490,945.675099715853646221",0.0491
91,0xBF9859c3Fa82Bf3D88e8A6168FAAEc0713280567,"487,340.660305791471724689",0.0487
92,0xf92f6f02061a60D77Ed050491478675a630d3121,"483,865.533870500229817035",0.0484
93,0x605756De19EFbB84ca152d397272C3C6D6bf6E33,"480,183.266869357830901681",0.0480
94,0x9f6feD26339789725b0751F57aEAc23367CeEE57,"467,043.845722957658654491",0.0467
95,0xC3615D81783c894d034D7294F3d4B98189Ee7d2d,"466,143.495921157201653031",0.0466
96,0xf74e5155E6553e06a43b14C280e925758D0ba878,"463,731.231762104286305772",0.0464
97,0xE01acDE80954398e2E61e3Da7a5E4d675FC7749d,"462,942.635560896446835203",0.0463
98,0xD9D128101A43f0552665bB00566069e847d4d2CE,"456,624.247824103982016189",0.0457
99,0xAd89368009BdbAB92d2a631D04dE15CA8a3B2eA4,"453,964.672480611822420674",0.0454
100,0xd2560bDC94d35f03F96c462fa784bAE001759e23,"453,653.899898174446392938",0.0454
101,0x9eb42F017E793512e4734f8785DE605c4cB3A24E,"449,826.432297888316488041",0.0450
102,0x6774C393031739b66D06583292363dFAd128E598,"448,675.547820473074423191",0.0449
103,0x902D05757a8A9dE08A615E60cFC09965217f7B28,"434,472.115608036908022896",0.0434
104,0x729fbaEC0Cc77Eb31E2115D8760B16a5A8e61A1F,"434,384.320411524688117883",0.0434
105,0x94243F79880C9E9F68e77BaD5786d7Ed52A5BCb1,"432,153.370861178263274202",0.0432
106,0x7aF88c5eA1b6947433D94c26e064A19288890D5e,"430,643.786510168145274486",0.0431
107,0x7623FFBCE77efD9d66ca13835dbEEfEA2379b195,"428,690.218915692251473138",0.0429
108,0x93d1b2E79D0f391D8Bb2382A977a2E3A7d130901,"425,054.233618540756295725",0.0425
109,0x148c67aCE132281d83a7BC72eafFb884CECf2f56,"419,173.406455787557327301",0.0419
110,0xD27f76c5a7367d12Dd29aF36479A75b12e1eDD58,"416,132.740933513923904393",0.0416
111,0x87D82508A2f0Ef34069Ad535BD634Cf535Bb01C6,"412,798.835620231461733095",0.0413
112,0x736841752C5380187Ba8a520ab4b60347F311200,"412,038.263299347196239866",0.0412
113,0x5E6aE23643749280ABdE5Aa6a60ef2e6Ddfa7667,"407,663.587727976065209673",0.0408
114,0x6104dDd54c4869b6297b5C177EB6C3C4Fc5213e6,"403,749.140266503261231837",0.0404
115,0x6827D58147523c36E6faEC356477E388fCf39d92,"400,000",0.0400
116,0x22E208CC36F43A334F415FaAB797eE5c9d61AAFe,"400,000",0.0400
117,0x5C6Cd93855695f04bb72102d9fc4904166C5C15a,"399,607.403516029626118405",0.0400
118,0xeBc7a582C4CbF1a8aF96992e95f2784341e3D19F,"398,054.233163209979",0.0398
119,0x080c5F26424AC0d5B454f5d39869baa8B7E9BBcb,"395,935.051923455270342206",0.0396
120,0x6cD520c1A07c9B53b33d62d04D3c2a3175161968,"395,000.000000313967401686",0.0395
121,0xBf26925f736E90E1715ce4E04cD9c289dD1bc002,"394,959.908073037949044532",0.0395
122,0x8f612291Ed62079eD75dbB32503F2adc6e57bB8F,"393,213.37903041320101817",0.0393
123,0xF3667880b88D1bC08456eF5E1AFeC6a94c764BdC,"393,189.134847857176339326",0.0393
124,0x27661dDa1FCb28835574fE39401F1E175B7Cc2D1,"382,580.740249281495712694",0.0383
125,0x5401890994A841c7a879b138Db3Aec14a7692918,"378,000",0.0378
126,0xafeEcF2DeF92819dF55428B144bf41319b8aDf5e,"375,027.402329835092243559",0.0375
