,account,token_account,quantity,percetange,value
29,ANW8bvezy2FXFmZezRPDqPUNCTbac4MMrgxgFC9ygxjR,DZyY9HxwQtKYAGjRYnBiFJBJHwqJnnvZ7X4LVRD75HFp,"221,428.642795",0.02214%,"$226,207.79"
30,EB8ce8aJDJqTiJ6ViJ71nN2X9jc7paaC4LN8yyGM4ZZz,6PEPdZDYenczL6fcv5GZZENVJcPETPXAbnGGDcVPFUrX,"209,985.627267",0.02099%,"$214,517.8"
31,FVQ9tMDxguSAvjN2YNTxbMXgv11CtRzWfX8aYRtquVqT,8uHeJt8F5BksJvhLY1DRupVWa8iVNJYwUxALqJbQ43HZ,"187,909.85996",0.01879%,"$191,965.56"
32,3TmVBFEja5QRqyo3oDnL3wmng3cv3NcEp5fBCy4s8uzN,56pDwNcBV7FVGbAbnw2xFFZu3uuRUstmDyswUpfsMoSB,"181,403.953409",0.01814%,"$185,319.24"
33,6XaYFimzaGBZ5Vvnj3TZ565pa6sAjx1HL4MNRkTV6aPi,QZ5s3AWhMYViPpfm6nWSS78QJ1nbyQPjncvQwBX9Z5N,"179,243.515985",0.01792%,"$183,112.17"
34,HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,5CUT1X1Z4XwVe5HYkPcwLW4zAFa4ezvWartR138d78wZ,"171,000",0.0171%,"$174,690.73"
35,5MhdpMJfzkgqp6xuLoFsQ6MnHn7yhoqCV31xw5Ca38Lt,3797q57HKTAx6U16zxjDqL7mJmquwQESGBbgBLCAmKDx,"168,193.550767",0.01681%,"$171,823.71"
36,5oznJEeZbTeFX71qHWzftT4pJCiaDJypSTZfBCH4fWaB,Zyi1gGhoXR8aJ1f2BvsTynCQM3CpppcxZzBz2idGKzU,"166,807.035624",0.01668%,"$170,407.27"
37,Gv7DfNkr1WqVuWvZzxouuFgAoRgfhuP2Dn7KRTw7jFry,1w7sr9FUJ81YuxRcf5isERM6324hAVAPUuFJeVZztuw,"162,591.367984",0.01625%,"$166,100.62"
38,DFBVeYSuPkSh6tibmLqNp81pCPcGMNtrDn4sjnwXa72y,ENv792e5TvxZPgpFaSHHw6z7SVfy2YpDWryYEgo2zS77,"148,010.264365",0.0148%,"$151,204.8"
39,7k6fHANgwdHjUrPXsrExcTGtXNNzSq7hNipjj9JbzhwM,93M6HMbdozjRXYn39buh1BFSESLaaVQbMyh6vRZ5WFUE,"145,805.758417",0.01458%,"$148,952.72"
40,5DydWDXZsCr6mfNxaPv3c5H7NT1p8JCXvPKVK1d3m3qs,EaRKhnM7DdZFgWSomX3h5zCRbUzruA7TNyTUCp9ATsAY,"139,357.048753",0.01393%,"$142,364.82"
41,7MXdhkgWG3NMVi3CbQSjGhsYk9XjC1fDppDoQgPeJmYa,5wt2pMaf9HgBSVcP9A35xzpmgXKZwC5jtaZB6paMF7PV,"127,811.565205",0.01278%,"$130,570.15"
42,3BeXHW7sEHcfFDpREaHuoGgswa92WGCy7AtwfNyDZc6J,9cWG3v7K2viPuZuaigouGs193M9y8LAgT7KRdj6rsM1u,"124,075.333892",0.0124%,"$126,753.28"
43,95jYA5TdJTkhdXiPecxcjFrkksjfEQey8ZD3CTmfz5VS,3LU4cGdWbAS8uDuhN8f79jSVHyGaYMbLXjT98YSmJ53g,"120,003.943674",0.012%,"$122,594.02"
44,FfU56Zu2jbZiZrnhLgtSmye6yWmN3uEGUrCejDoi2Xmm,7rTToRzvgNZQVfbe96xRWPg6KdUZ4DNcidr8pMP5h3oM,"115,670.405337",0.01156%,"$118,166.95"
45,AC6bB4T7FEf5qbqXpSbKtLfhgybf2gr9y2pinHCuxd8P,GPBceNbukwTzfJEkv5jdjE77hUuPfQcXR6vxuwFcGhhP,"113,532.222877",0.01135%,"$115,982.61"
46,2z4yZoPasrubU8CjQGgLKzYJRcS3ubKmaR4VfjJdQw1K,AyRkwEmFBWVPbpixjPptpzJBLGxEW1iqSZUZGX3R7djV,"110,779.385245",0.01107%,"$113,170.36"
47,EwTNPYTuwxMzrvL19nzBsSLXdAoEmVBKkisN87csKgtt,BAUcXNkiXHvEZjuTHXkdmnE5i5aSo6dmU1e9X577RCYw,"110,113.289852",0.01101%,"$112,489.89"
48,A3ZcnXcCnLDWsCgxMDryqFPLCP6dpMGEs5eaHHwjm6Sg,UDm17obbQVd5zdZFKR318WGDcWDBFpESi8MyZKV64VP,"109,584.089622",0.01095%,"$111,949.27"
49,5nESbUM5XZLp5LBDa51crobMg9BwbTgky7nUFjAzRg4s,FkGwXxLHyBNKUmU4wEMdVBP2KzLbEafgZ8hxsvoRzZLP,"107,883.916079",0.01078%,"$110,212.4"
50,7no3dVRFi5qmtZZMc5fvmFMYY2KxvAvixpDPTqmTqP7h,KQvPM9xibhBaKQtHDZvivBzQJS6DrAA4nU1UEk4x8NC,"104,729.340384",0.01047%,"$106,989.74"
51,ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,E1dycECDZfsVSZhUrZtPJRyR1bqAQNwwHcB79wkhXN6Z,"103,530.224512",0.01035%,"$105,764.74"
52,3Kcg2qgB9LWZmJFtLnXEY8vXKzVz8m5ydqKMujBG37gp,2S5wHiq2TfGGpajpLGC9xZpnFBrhSATxK3Jn9tgvkfGK,"103,071.25266",0.0103%,"$105,295.86"
53,4yzPzNAT3DwUcca5buWBrWX2k5tS6un9GY9ZBeA6pyT9,FmLUijADWZgPsRVGHWLKcwAurLhpC8E975AyEeh6mSq9,"101,903.554692",0.01019%,"$104,102.96"
54,Dqz6J2GGVtfUVm5AJaWpFAMQ8zVi7Y2Bdqkw4kQDJ6H1,38EqYB8hNPawVNNGiHYdWWp97dhQLZjY5ugKr3NPUqpD,"101,210.355586",0.01012%,"$103,394.8"
55,9RSegsxa66u593YdEQp575S17H2BV2KZTUoABwh48rsw,ARGqADkrpNMX2gaGbT3QTW17wQnoFKv7EwygcEwup2R5,"100,000",0.01%,"$102,158.32"
56,4v5V7oHxRV3CGPRpWYeU1xRHvtCaS7nm4ygmaLgSmJFM,7TU4HyPruD3XmY2S4bGJMTf4GGB58BFcsvLjN7gouHMj,"100,000",0.01%,"$102,158.32"
57,4m2ciGnqd2S4kTJYQzuqbP6ctF2Fqo8tVfYBnVDcmGMc,3mGb1ana3xyp2KxVfX5g6RAM2hBzDze5EwPoGaM3ZsXo,"98,579.60878",0.009857%,"$100,707.27"
58,6s3NtoktsnXdFosU7g815zSVuuTrF1yuyZWXvBHaVUtS,E7HTLRJj6Y9VYmKMYeWjykFRiEfoSuAQQGWgfdzRN6Hf,"96,750.557535",0.009675%,"$98,838.75"
59,CZdApEqZqQennxBDyYjahWBju8rPbh2pvE3kyrTQJp8P,Fy3Hb6jbxpdCFXnv2TwAyQQaqWbjKsJWqgW7rtMMKVct,"96,654.385619",0.009665%,"$98,740.5"
60,6H5aNrRr571gCUjwSnwSiAUmUYL8Y7W2oN3RvCx7MWFe,HaHCBJ5PXFFhXNUoX98gpZK99c7Bfynu2Ph5CBkjJuPF,"91,730.076676",0.009173%,"$93,709.91"
61,8VwrTZDURkWhjS4KccpSgpK3L3xzYcWZKo8h7ArUTGYM,5RLqjT5USaL4ckfahbjdNuo956a7exMxwZbyghqemx1n,"91,570.859547",0.009157%,"$93,547.25"
62,BrYRLKDgsP7ZnCD8z6i6h5H2aXuv2mpzf9Pw8jeW1tja,7zZPhmTTXv4HK6sbcWfVGpu6qHwaxHQbTscdJ1hXJQDU,"90,048.651213",0.009004%,"$91,992.19"
63,9eBTTDjNTS1AKYzzVRjp8WUfds25zeenAPEnv4DicPW1,9Vaopf43wQvs6oZ6qck6hH5VjBSUbv8uHA4oTf7gLiK3,"88,200.869228",0.00882%,"$90,104.53"
64,BkbFvBhd1D9VB7kg5E748RzS6ajmAiG7sEi7EGK6rJQN,4mBkezUDR2C9QW3Uvt8fpsJGL8XFiwSeXieGHJZd6sQK,"85,909.801267",0.00859%,"$87,764.01"
65,8kbkapCokSiMCgnoqJg36dgg8fXDcwFFJRfZrPWJpgrq,GhrgZ2hY6UuWLrXuHK5S5WQCzygUvN9UAcZrTDq8xgQ2,"85,275.893729",0.008527%,"$87,116.42"
66,AuvtNJMmzL9nhqGphC5ZLbur7s6wjtrVQRNY9noXWoFJ,4QLh1cWvuAUrV1duKctTJdckdizsYLqQoq4CKVW13Jh8,"84,543.395587",0.008454%,"$86,368.11"
67,EwUqPmt5sr3xgd2bacBho1iLkwdYUAULXBMDa2WHztmd,4ZZnMLXpXALgzH25paYDfot27FH5jknwiTz85JqDXYgL,"84,539.743263",0.008453%,"$86,364.38"
68,9MQPSxmFE1Ef7QsUs3oXuLED7C3YE2vpiqBW63BifMvJ,8Q9tn4K5z2ZGAUcNVfyDFJvZMP78UmFND1obpoxDTMbN,"83,269.946168",0.008326%,"$85,067.18"
69,5fWdcYuj7B9qSdHrmLjuVtaV5J3X7okyXtAXjhRnRuCa,CkodAHNpoRpaqN9SyuvuNUUM7dtVujKcDMau1jhCa9J9,"82,793.521342",0.008279%,"$84,580.47"
70,5fWdcYuj7B9qSdHrmLjuVtaV5J3X7okyXtAXjhRnRuCa,CkodAHNpoRpaqN9SyuvuNUUM7dtVujKcDMau1jhCa9J9,"82,793.521342",0.008279%,"$84,580.47"
71,FqEXDx6Hup4L2GNp9iKqNYNd8wMBx1mUHpqs4skkuort,4s2AFCadEnZrKjjr6iihMTiryd3A44Vo3f3GoiEdEhib,"81,525.094824",0.008152%,"$83,284.67"
72,7CnNkApBU4DruHQyiAyBioRkg9imWZ7HHYTa3EQUZ4iC,9ADtGzio9HngoWR5ZXHJWvFZT2VYmYiYS2p9HE7dRhcc,"81,141.839789",0.008114%,"$82,893.14"
73,Eo4R8pBvnCbdvxQdFXMrdQrdy71vkv5mTh8HTD3VrEh1,3HPb6uUHaiK4MrN2V8h5uevCCtxtpN2HnDP9Nr7QFHL7,"80,400.46294",0.00804%,"$82,135.76"
74,2d2m7zZpwxSJWDJT9MHFNDMubBiqwbdQN1XtgMuEFkpY,EtaMg2BdR6hP1fKYCcg2Aqtm9hEqXuoUps2TUmA3NfPZ,"77,724.231971",0.007772%,"$79,401.77"
75,AKHQkqBqqAu6F1hhYp9D4CYedHFgDTDu5ZZduYbXA9JA,2ntjfpTD8F83kLeswKk5wuPyB1TwxXWx37sbizd1Trjo,"76,392.010461",0.007639%,"$78,040.79"
76,FQQLwq5PsBqcFUyhY5DfUM7gUHsNMcRvBeV6WFv5u1be,GTEzaDRt3ckzEpg34k8RAJ3XGBRWJYXvYmME63itMV34,"75,447.892321",0.007544%,"$77,076.3"
77,EfZWTeWAgDahw7VhB1h6wsisEAgE5BrfZHUd23JrUmQc,B2a9hi4xnp7b3ryCM9UJiNj3japTGyz2N1VJSzcAN1wH,"75,000",0.0075%,"$76,618.74"
78,FM6x2RSkBUS55n8n2cMrQGbzoD1Cn25H3w4i62dt6rGi,3zkAB2UBAdn8no1Na3WsXGvKuwdVfaXLVCcqRhArPL9m,"74,896.547039",0.007489%,"$76,513.05"
79,3G5hQ4gC1TM3rB2FEFRHnCk4rzodYWCCqXNRJPqUwYEd,Dci5g5fovTx37D2cHNrCJgreZM6gQ9uBNpLqCi3yeVMZ,"74,306.265237",0.00743%,"$75,910.03"
80,3Z57a8qfoYrE7r8Zh3Mzb1QBH1972phNcnw8tZvfEvvj,JE7wciknzjsYRxpzvqCRaDcJuBwXd96X3AQdQjJZ1Yuj,"74,131.300743",0.007413%,"$75,731.29"
81,9H7nQxF1vmrr9fjcE55Y9RoTb1uhKtE7934y8Ww8oijr,C9moBY4grnzLP1hY8ydMG5saJmPvPZ2EBJNc6e6f8pZP,"73,261.273684",0.007326%,"$74,842.49"
