,account,token_account,quantity,percetange,value
28,7KF7Zf4AKUijBjVFn4nLWXc5KhW5EKZa8jgZpL1xXSH9,HM1G83fTjpCSFxHa9WKzETQotqd1uzJjsPt6NWJHGbBy,"5,900,373.068787",0.59%,"$1,806.25"
29,4mMbsFHPiZp77f4hDYJtNZdCBsCc4cuRSbMrZbdWQdzr,3pSNsixnYdBND2F6mEM6pK6haeid56Vb55vqDMsgqvea,"5,376,138.211431",0.53%,"$1,645.77"
30,849L6XX2wQpfF27h5mjHETQSjVHosGmhGbNHgsdbVVqY,5MZUE8vhf1yrLpUd9pF7UxFxcAywauY8srMKQPqLjvWS,"4,905,544.613862",0.49%,"$1,501.71"
31,r3wXMgk3Yd2GRzk9W7GAyAndYdbD32Rv46mEQXVBXq8,3XuXs8dGsyqunVJHAE2hY5PtiTcnZAWBFTUhF4Ji2trG,"4,896,830.681055",0.48%,"$1,499.04"
32,8WS4eMRQUjSdyZPvCrD3zq9hhfhQPfDc9hKxRFP5xwR6,FbrsPYgGStjWbzZ6HmZ1qVf6RGJ3xG59GkUjjkL88Yhy,"4,494,266.953624",0.44%,"$1,375.8"
33,61jednNz5WyshRSJj7NifNzwEWUtRxBbg2Fz9FM2wN9N,ErxrSP33haiMCNcJTHoMQAML92ncAUWDA1suwAC6K6SM,"4,465,832.401646",0.44%,"$1,367.1"
34,4C5mNtJLyScyvwy6mCzfhKgbw9F6cJBaXYhzr4PiTBqr,6d1jhfMdybCepGHVDfaRCWVWx2ke4V84GW5mMr2UVHDG,"4,335,558.08683",0.43%,"$1,327.22"
35,H5EP81CTMVt2b7usXecoUHiZBpk8dTUBkfzyiTmMjAah,AVMYErZjm7Px18DHU1DVr51KiVmx8McbP2jGbWEMgLhr,"4,309,759.121183",0.43%,"$1,319.32"
36,7AtwRfcnArYkXyMK7Xh95xwqQjpJZVtLnyJJEyFA1XKX,CwHhSh8j1G3WgNjNyDxu8r6XapnG2VopUQpP2eqgLJsz,"4,000,000",0.4%,"$1,224.5"
37,7JV4VPUimXijHqh1RF4F9q8vSG97ynmL6V6fBrodX8Cr,85C4SeW28rvwQMJxEDycMkPx9tUJrZRTF9EgF4ooDWB6,"3,906,837.288473",0.39%,"$1,195.98"
38,CH8hdZSRsX6mFCizA2vcqpQexJmUJcg4X2oDUVZvZXfM,9R7xdxrcjLiVaJ1Mz7fMnXxKucSjwDW7MijL5LcGNMwY,"3,870,632.520106",0.38%,"$1,184.89"
39,HuCsnnQ9b2tQ9DXgyLa6vjwQwwN1sjpNGvQw6eFg4P7s,CFXbfAtHzmdbQTRzRDkotiuQJY2Sr4XPWo2ZdNNpt8WV,"3,849,303.553669",0.38%,"$1,178.36"
40,6q5WAanAnVfpepRy6hHokkZy3aAUvyh2VLVG4c1dKEuM,5ZL5D8JZmi7rQo7UbbkuQDbA1gerceMLw7VTgUW9tM5G,"3,813,206.601176",0.38%,"$1,167.31"
41,947fyikhXY9dsMRhtvbaJsDekMe2vyRrZaiHovAgk7KV,B12gf8d9nTtB62Y1tvXa3N9w361pnMEuBd2zXvSoLWu8,"3,782,819.83757",0.37%,"$1,158.01"
42,G4rqvGyGjrSPkQQrnCWr5P5RccgjAXoHvqqA8o4sEi4J,3z4VYFTkg9ca9yNTEQVkQdAW6W46bEuJTceq4T7QGE7m,"3,765,313.588603",0.37%,"$1,152.65"
43,7H9guHaNWVpCU3KRNAy6CpjZ955DGxCs6VeJXVLJHinY,3oVTjiNvXyFFxbRawfTDz1ZqDFFGmSnnaxUBXdwpKCUH,"3,765,222.900654",0.37%,"$1,152.63"
44,Atp2rJQ83w51Ay14EbYWvcbVShcxgttiV6TvcsyyffkT,EvRYz2WYH56d9xDvWP8Nfini2TXmGAg7FcuhRHpagH44,"3,703,779.960182",0.37%,"$1,133.82"
45,DVWCJi4nemNktfX1nvfGHehTjDjt3S5ZYcBxVTvYejcm,3mogitV6YTq1uCk9qJP91akiYVT2DgLGVoZs9rpt7dm7,"3,665,243.721755",0.36%,"$1,122.02"
46,Dk9vPqAdbzaMyZvUFuSsyfFKtBWwT4EL8NMY8q4pakb3,AqShwa27vrcg8SadBAXWPBaKEr255HoMrRYv4PRRrBXx,"3,616,027.996449",0.36%,"$1,106.95"
47,3uWXasu3RRQDxvy98sgP29bC4kZ19nPKhs4PTY2nVMEc,51Pbe2sBzQgM7SdPjrLQPucTsUbVtAhe8Gnmon79oje,"3,614,223.208137",0.36%,"$1,106.4"
48,FB3HeZPhiuTstNyUmJsH7qiEgwzHisKDd5f1CpLc5Et1,H3QJfFmDZv6zFaSiGmh2WyWrKycNn9DtiFih9my6uPjS,"3,586,673.574226",0.35%,"$1,097.97"
49,HPsXbjZpU9WxkAMMbJFarjZdjaLzcWby5spAVJqRxudY,HNrnaCrmXmj8YgbTLtHyyjcHWb7QExgdmTdbdy3HztEw,"3,553,148.482954",0.35%,"$1,087.7"
50,A3P3sTaWVde8o8FNHnAzFzkjENioNAs2JdpBwBVct2er,HEkZNB72Yf3bQv2Ne2BAHgYAsGPjhh5zwyjLytzXTTiX,"3,479,794.13261",0.34%,"$1,065.25"
51,FjT8MxAYv8gUvQ8TQME6zvceE3n4KncrgX55VitJiT4B,C1hXhC9SJ1Zyj5NBsMV1tixUbLeJYnbhefrnoZpsy3ir,"3,398,844.822034",0.33%,"$1,040.47"
52,9cJUrDkjWn6vU2cWD42ADGinGa1dQdcf9yzkNM9etQdA,AvSPEp77wxMGfQDSJL9Tu9TkXZQbAtu7H39K1wCLkqkY,"3,351,324.531537",0.33%,"$1,025.92"
53,Gqfb6neu6esXd8HCzS8dBMFnwChLWr4DPNc2NQ4TG9YC,2CybovYJ5D2PzzggFwozrkB4pbstQ1dGgpUbus32NafK,"3,312,147.099879",0.33%,"$1,013.93"
54,GBvwSuoo5cKUEkDLeG64NLs8u74X5MVxmZzi7dURDT74,GjauY199YGkqtNUcCsABQRURLPrNwkGM7AKviJpucJaN,"3,245,281.049442",0.32%,$993.46
55,8F5pw6sqqZ4KVNyr53Lyf98CU3pzCdSrWZpDnzuu1T95,3DNnMBjcMBTNs8JJzhUKJ4UALXGcwn9z5rN6Jm5RYgGC,"3,225,835.836307",0.32%,$987.51
56,5CUjMPgg2JQECiVKFBf7RGfqdQVJyMgibbWc94wUpTRK,A3JxJoBK1adxyxAbsgQmam3hwisYjnHFhJjnMipemCiC,"3,220,416.444411",0.32%,$985.85
57,AnE78WFUXFrF1KZpwssbPriAR9jDmLktxF6CmXz6p82c,r92jBxaDTREdNC2K8eAfyk8J4fF9d8HLmjgSn9WeGVD,"3,193,226.137076",0.31%,$977.52
58,4cwPT7ACTfVP8rJik8WTZnKn7dYTqaofLp3prFQmy42x,3KdQCgwGqpyvhwEdGD8S1WGAU9eXtq3Hg6H9TV6BgGX6,"3,091,500.26509",0.3%,$946.38
59,2cfU91vUxQegLfHYWCg7AgG9SoGqbt9inpC8KuT68t3r,8Sa96i6LzY6FaHjutrj3qxvMLdrbN7vQXwsVGU3bj5AS,"3,007,620.145726",0.3%,$920.7
60,88fUSUsr7kdDVNDXEG5SA9tjPXCajHBZ9EWimMd76zML,5DWdhDferm8URDfsQxQZJdouGMoB7fFRyQzzJKHroPHF,"2,968,110.757586",0.29%,$908.61
61,uqRnaRreXKMEC7KQUW7uig7GEqjdwiAYnpPJP5XpZXZ,5GLA4sDZwLgarYXGAW9vAepVwaRfeHDcjgf6PCxw6Ki3,"2,956,007.821194",0.29%,$904.9
62,EuCWttK5wZbR9BZ7ra8BiqkZf2E7cFc3WXUUW82YqyVj,9hiETyuwZGY3mYi2Fricgr2e5FbwqCB6uPBXfnhCegae,"2,886,684.271986",0.28%,$883.68
63,CeL6vywWfJ1Yq5ztkzV2ZvougWuiFTTWs7RD3u3xDdse,CMh3n1Rh9DX8dd6oMup5RhhL6ShAykPJrwJWdsSHR6FG,"2,833,095.168934",0.28%,$867.28
64,5CUtXUzFuravbxuM1bdbP8JgCQG9mJBi4uTaWnofKdbP,4evPeXWkkp9ifgfBe63fbUCNeeCiXd8EVPhzDNk3ZD2S,"2,713,049.893902",0.27%,$830.53
65,ADeVdUCjYDopv2Q5nJ2HNeVLS1oBaJHLLmbKzVq54zVY,FiQxTMcf3rFVFKnXoyGSVXkoqzczfoGENJiUj7ZhW4eq,"2,664,846.450747",0.26%,$815.77
66,GmWAHSRjBGkW14r7TkoKNoBJoRqzJC5Nrj4nKP1pChEE,BVJHLaFSJq4VybPenVLvD6oSa5cEeaqeqhUV1Wp7virq,"2,508,221.572115",0.25%,$767.83
67,Hr42oSSn7D8j3ZJ4mWfHAaREntrZntAAhZRBRGqjce2H,5Y1XSico3nfKMbu6btieidVCRVoheEvMXFZELzoHorFU,"2,500,756.014813",0.25%,$765.54
68,283U6oLjMmCrcU19D7BxfvSHk2BBRssPS5V37ARHCEUs,G5TZsLRDw8AdFY7dSFnS5tu9FjFMpUEhfo4hoyrazrR9,"2,449,549.579923",0.24%,$749.86
69,2Y92qjR4oNc96tYL1giDL26McxNm4ULskD9mkGtq5icQ,Aaz7LBDytUZyDugiyYo6oAsAkksMHK4b5PHBPoThXE9J,"2,431,949.277442",0.24%,$744.48
70,5e1vvPZ9rRt8HpYgspJaEaHzXvAafevSMMuZbMuusQAo,87dcjrKDhXbiUvT562wYzTJ4dZFWZx86iNPpW3yQdgh1,"2,392,093.915846",0.23%,$732.28
71,3Wexe4DihkmkV7CQVSPFEF3nnq6RBjXbRDU2gtj6JUeX,S3GNGDgrFBG97bicFjMiR3pn8YeBDoxAbguFKWu7vEn,"2,348,015.255706",0.23%,$718.78
72,7ty5ToXLCcR5vHTcg1XkJ6PVP4G5YsDr3ViheJRn8FDp,8n2bFFyDBk1VsuxBRcWTaZ5VyHuFb3pA6Rav1BUyFjgQ,"2,317,998.763325",0.23%,$709.59
