,address,quantity,percetages,value
246,0xf17a1Afa5Ba06DD0eC84172F9E15b74b053c8eE2,"1,510,454,949,528.866639462",0.0015,"$26,191.29"
247,0xf17a1Afa5Ba06DD0eC84172F9E15b74b053c8eE2,"1,510,454,949,528.866639462",0.0015,"$26,191.29"
248,0x6D0D19bddDC5ED1dD501430c9621DD37ebd9062d,"1,507,698,496,933.569538555",0.0015,"$26,143.49"
249,0x6D0D19bddDC5ED1dD501430c9621DD37ebd9062d,"1,507,698,496,933.569538555",0.0015,"$26,143.49"
250,0xDdee48cc36634c4015B04D2e47233D6c3eC9ecfA,"1,500,475,219,877.181117424",0.0015,"$26,018.24"
251,0xDdee48cc36634c4015B04D2e47233D6c3eC9ecfA,"1,500,475,219,877.181117424",0.0015,"$26,018.24"
252,0x36A13Dc9860E30ab6425135d68b5F1CbE2bcFbDf,"1,500,100,000,000",0.0015,"$26,011.73"
253,0x36A13Dc9860E30ab6425135d68b5F1CbE2bcFbDf,"1,500,100,000,000",0.0015,"$26,011.73"
254,0x768Fa86221a2dAdaA3f2886a4909C25dc32A8c06,"1,500,000,000,000",0.0015,"$26,010.00"
255,0x768Fa86221a2dAdaA3f2886a4909C25dc32A8c06,"1,500,000,000,000",0.0015,"$26,010.00"
256,0xD5C74c00097e7Da934E9a5baBd1eb0f9a05Ddb67,"1,449,923,416,085.081050986",0.0014,"$25,141.67"
257,0xD5C74c00097e7Da934E9a5baBd1eb0f9a05Ddb67,"1,449,923,416,085.081050986",0.0014,"$25,141.67"
258,0x36dDCd4F9092Fd0164E5992827c8584F79849258,"1,440,408,189,122.878240818",0.0014,"$24,976.68"
259,0x36dDCd4F9092Fd0164E5992827c8584F79849258,"1,440,408,189,122.878240818",0.0014,"$24,976.68"
260,0x6edcdA9De82DB385aC169bf1F38906F424Da5e72,"1,438,643,291,031.385222147",0.0014,"$24,946.07"
261,0x6edcdA9De82DB385aC169bf1F38906F424Da5e72,"1,438,643,291,031.385222147",0.0014,"$24,946.07"
262,0x59F4d3591af6Ca8D50fd0548F5E6E52237B9820e,"1,358,081,796,765.086462122",0.0014,"$23,549.14"
263,0x59F4d3591af6Ca8D50fd0548F5E6E52237B9820e,"1,358,081,796,765.086462122",0.0014,"$23,549.14"
264,0x9e914A59f015aF4bB40E5869760D0f2D37f55AeF,"1,351,851,419,322.625961191",0.0014,"$23,441.10"
265,0x9e914A59f015aF4bB40E5869760D0f2D37f55AeF,"1,351,851,419,322.625961191",0.0014,"$23,441.10"
266,0x7D4EA8eb2cE468073a55519078A670a06EC0F235,"1,334,408,111,161.613071651",0.0013,"$23,138.64"
267,0x7D4EA8eb2cE468073a55519078A670a06EC0F235,"1,334,408,111,161.613071651",0.0013,"$23,138.64"
268,0x02EAA99393e802FaE56BC7f66634DDb4757a19F0,"1,331,557,918,019.411651931",0.0013,"$23,089.21"
269,0x02EAA99393e802FaE56BC7f66634DDb4757a19F0,"1,331,557,918,019.411651931",0.0013,"$23,089.21"
270,0xb5820691Ca543B0Ef554b75647E30c28934A7d8F,"1,297,422,701,022.34924419",0.0013,"$22,497.31"
271,0xb5820691Ca543B0Ef554b75647E30c28934A7d8F,"1,297,422,701,022.34924419",0.0013,"$22,497.31"
272,0x955DbE528B3F0f6E259Bb330497e524811A1E8c3,"1,287,400,524,575.779659859",0.0013,"$22,323.53"
273,0x955DbE528B3F0f6E259Bb330497e524811A1E8c3,"1,287,400,524,575.779659859",0.0013,"$22,323.53"
274,0x76eC751A55033f7A2eCE8EdC8485d53a5894c9b9,"1,268,769,299,176.171038974",0.0013,"$22,000.46"
275,0x76eC751A55033f7A2eCE8EdC8485d53a5894c9b9,"1,268,769,299,176.171038974",0.0013,"$22,000.46"
276,0x699D2d9221397D44B430d6095F1432669a9C5d28,"1,263,816,626,255.721653595",0.0013,"$21,914.58"
277,0x699D2d9221397D44B430d6095F1432669a9C5d28,"1,263,816,626,255.721653595",0.0013,"$21,914.58"
278,0x035f59c9C113300f63C8835468Df3d211Ad8EB16,"1,260,872,844,044.57821381",0.0013,"$21,863.54"
279,0x035f59c9C113300f63C8835468Df3d211Ad8EB16,"1,260,872,844,044.57821381",0.0013,"$21,863.54"
280,0x6c84b125A8Aeb3969a2343ADBd2d882270A3E3B5,"1,251,597,976,054.99750009",0.0013,"$21,702.71"
281,0x6c84b125A8Aeb3969a2343ADBd2d882270A3E3B5,"1,251,597,976,054.99750009",0.0013,"$21,702.71"
282,0x9a4957a8C8e716CcAed488eA77d77642285e5929,"1,246,159,651,501.6051671",0.0012,"$21,608.41"
283,0x9a4957a8C8e716CcAed488eA77d77642285e5929,"1,246,159,651,501.6051671",0.0012,"$21,608.41"
