  ,address,quantity,percetages,value
1501,0x353c1f0bc78fbbc245b3C93ef77b1DCC5b77D2A0,798.757700662934544403,0.0008,$0.42
1502,0xC56D5cE155Bb7B3ED54D11757E288A11e13be3CC,794.440656526537948487,0.0008,$0.42
1503,0xC56D5cE155Bb7B3ED54D11757E288A11e13be3CC,794.440656526537948487,0.0008,$0.42
1504,0xB5B225880D2AE87824c837646b7567707100B679,774.080419518257448586,0.0008,$0.40
1505,0xB5B225880D2AE87824c837646b7567707100B679,774.080419518257448586,0.0008,$0.40
1506,0x0F8E0f829b0f02F000dC5Ad51e20727A6223e88B,768.464833873779391938,0.0008,$0.40
1507,0x0F8E0f829b0f02F000dC5Ad51e20727A6223e88B,768.464833873779391938,0.0008,$0.40
1508,0xEA972a1E8c6C86A547Eed1C31c5c0030E60a9942,767.858808617711921308,0.0008,$0.40
1509,0xEA972a1E8c6C86A547Eed1C31c5c0030E60a9942,767.858808617711921308,0.0008,$0.40
1510,0xd3C1beFC0652eC574486D80FfC2F930AEdcD02cA,767.734130121866246521,0.0008,$0.40
1511,0xd3C1beFC0652eC574486D80FfC2F930AEdcD02cA,767.734130121866246521,0.0008,$0.40
1512,0x778974Cb450d59DF2feE838508be3677d91d64a0,764.050475056356592986,0.0008,$0.40
1513,0x778974Cb450d59DF2feE838508be3677d91d64a0,764.050475056356592986,0.0008,$0.40
1514,0xdAd7b53802580461CeDF9E490B163e613FA45819,758.774026225291714083,0.0008,$0.40
1515,0xdAd7b53802580461CeDF9E490B163e613FA45819,758.774026225291714083,0.0008,$0.40
1516,0xB0B3A0DEFC2cc4e7F7d16dcd9bD40BE81bddd2f2,756.13400492597375659,0.0008,$0.40
1517,0xB0B3A0DEFC2cc4e7F7d16dcd9bD40BE81bddd2f2,756.13400492597375659,0.0008,$0.40
1518,0x31B8D2AFB1f720e412E9C0A99AdcF246421Bd53F,751.801892132010175943,0.0008,$0.39
1519,0x31B8D2AFB1f720e412E9C0A99AdcF246421Bd53F,751.801892132010175943,0.0008,$0.39
1520,0xD330522D1b5C35322D78cdA05607ff199CBE1d91,739.191663367079208633,0.0007,$0.39
1521,0xD330522D1b5C35322D78cdA05607ff199CBE1d91,739.191663367079208633,0.0007,$0.39
1522,0x3B5f2Ad70eC334bF5C51A483297B62d499B7F1eD,724.964954735042371219,0.0007,$0.38
