,address,quantity,percetages
661,0x81eb2d605e4c9306A3720cf719468534A5AD640d,"101,199.973",0.0101
662,0x26F6C5B24ECba1d450aE613cAEC7e2fd5cb8629e,"101,186.146038667968404252",0.0101
663,0xa7308E4824d7c805676211D6e1B0D16D681B0F16,"101,002.361030846588667958",0.0101
664,0x798a844A7F583faecDAE78b7c1D8079b02916d50,"100,912.441327422018140503",0.0101
665,0x3f09d72eF839f2CF84096424884fDA2ECc508BC9,"100,843.797235525289514479",0.0101
666,0x5E1C6B00e8F596BcDB9f9B9f0E45a4540B740902,"100,834.43",0.0101
667,0x31A2AfF2B4BccEa78d49D91D2AC08969789779F5,"100,730.674887305037478912",0.0101
668,0x9Bd1cb0f33f15dF4b147828D4534E050F7AF288e,"100,649.121279403049873973",0.0101
669,0xBc3E9FF939Ecf63f911899bc5cF4AD67d30d5476,"100,617.936059417603457034",0.0101
670,0xF9ba6b7B8BE6F649f9B528fff246986bdeDFC987,"100,576.26635664994088521",0.0101
671,0x430B6f334481C96DFCc5BCe4b2a20DAb65E0CaA2,"100,471.671412802137809633",0.0100
672,0x9887c2E94C8ECA0EeD5F0781A25F856081723c4a,"100,250.919411337010828672",0.0100
673,0xEc1fF75Bfac47Ca8C8a5fF2acD17f60bD290E75F,"100,001",0.0100
674,0x71C0101012F29B1ABb169AB5a7d1D9A943F2dF31,"100,000.964710170421299307",0.0100
675,0xf47c6eCeC4a715c72a06c06F5CC7Dc7BB7443AD1,"100,000.413096904847977382",0.0100
676,0xAAc0f233E95A8f551C1a1E4c5Ce710a9102506b5,"100,000.363986496421613656",0.0100
677,0x8E350E6b093Fd2AC0A29CcAd2D1236E09d391FDB,"100,000",0.0100
678,0xaeCD9EeF69ae89db52FdD7CcaB54D647E461A6c3,"100,000",0.0100
679,0xeA102663f60980e1f9E84672ddd1B1747Ec1a26e,"100,000",0.0100
680,0x41E2963260F955E2e1e4139cEF381c633bC01387,"100,000",0.0100
681,0x20E6C490A1234c6a75BA158bF7d3c61134123010,"100,000",0.0100
682,0x601700aD87F2295c3DA70fe5bf13d06680A3E3f9,"100,000",0.0100
683,0x46E87C7481C7129EC5bA878c06e6Ed8fbe3b0Fde,"100,000",0.0100
684,0x043742e95b4e681991C6B15743119b9da5D574b5,"99,707.198511005727830818",0.0100
685,0x77920E20CABE9DC896487776A45b7B239f065f00,"99,700.993643703934439628",0.0100
686,0x81fa8026f57B8544876fe77450328e5edC23D7A9,"99,541.839257598345257695",0.0100
687,0x8377B3a397B76c95D563D760392a90C11e331E0F,"99,183.08089355866231566",0.0099
688,0x7F3ccEf294d38b2E4705d5d66A6286C60C80B7e9,"99,011.984045523625506574",0.0099
689,0x41ac1234dB370e5Feb2500921f94aB2373403825,"99,009.101719877057247459",0.0099
690,0x095049Edd6D35Fe94d1FbAFFF9D9E9d49548e8CF,"98,845.763400999032320159",0.0099
691,0x77b454Efd04bA27B131C78799908150299a16073,"98,605.228355535643364491",0.0099
692,0x861beFd53a2A54a206A11E3dDC8520b491dC9671,"98,473.547685611038695856",0.0098
693,0x0393905785ed68D100Df8f36d1E0e0F97eac4d2e,"98,231",0.0098
694,0xc8f87D4E916ed0fa0a69560dd141F1E29adDd9Fa,"98,154.861701434516021863",0.0098
695,0x1953eff2B65D0133F463d02e1Ae66c09C48e950B,"97,543.789697571552425866",0.0098
696,0x870A6207092A6f6f714c131c9faf3e15A498dDD8,"97,500",0.0098
